detalle_id,orden_id,producto_id,cantidad,precio_unitario
1,1,244,2,1675.44
2,1,214,3,3709.4
3,1,355,1,3874.37
4,1,71,1,1294.35
5,2,370,3,994.9
6,2,259,1,807.92
7,2,428,2,552.35
8,2,244,3,1675.44
9,3,409,2,2540.33
10,4,303,1,344.31
11,4,348,3,1315.49
12,4,120,2,1326.09
13,4,91,2,4306.85
14,5,133,2,2798.9
15,5,4,1,1818.67
16,6,243,3,448.7
17,6,103,2,2490.53
18,7,490,2,802.4
19,8,220,1,3317.48
20,8,488,2,3384.94
21,8,132,1,657.98
22,8,398,3,3061.39
23,9,211,3,2701.14
24,9,231,2,1032.55
25,9,30,3,3742.45
26,10,256,2,2822.54
27,10,364,1,2241.64
28,10,174,2,2301.51
29,10,177,1,4353.88
30,11,124,3,1712.72
31,12,76,2,3635.22
32,12,433,1,1833.63
33,12,93,2,2774.78
34,13,234,1,1339.53
35,13,374,1,3273.57
36,14,362,1,1624.65
37,15,484,1,3514.45
38,15,330,2,245.38
39,16,55,1,2242.36
40,17,426,2,3163.29
41,17,190,2,2533.19
42,17,334,3,3470.41
43,17,455,1,327.73
44,18,55,2,2242.36
45,18,217,1,665.92
46,18,85,3,138.27
47,18,30,3,3742.45
48,19,59,3,1297.19
49,19,148,2,3480.93
50,19,138,3,451.38
51,20,17,1,218.01
52,20,192,1,3715.21
53,21,490,3,802.4
54,21,297,1,646.69
55,21,5,1,3537.86
56,21,107,1,1150.91
57,22,383,3,3100.45
58,22,212,3,79.23
59,23,49,2,4264.68
60,24,348,2,1315.49
61,24,204,2,4066.06
62,25,32,2,2748.32
63,26,445,1,452.87
64,27,238,1,630.17
65,27,453,1,2643.14
66,27,455,1,327.73
67,27,389,2,1258.16
68,28,229,1,1406.29
69,28,455,2,327.73
70,29,482,1,2869.91
71,30,299,1,2236.93
72,30,102,2,1816.85
73,30,107,2,1150.91
74,31,130,2,2935.63
75,31,470,2,2072.05
76,32,437,2,2574.09
77,32,58,1,3916.02
78,33,401,1,3107.38
79,33,228,3,2870.8
80,33,222,1,3177.67
81,34,491,1,3649.59
82,34,289,3,3285.5
83,35,388,1,3188.43
84,35,476,1,1690.17
85,35,167,2,2209.59
86,35,134,3,2239.38
87,36,56,1,4313.07
88,36,358,3,2403.81
89,36,310,3,3551.79
90,37,66,3,1498.19
91,37,237,1,1823.45
92,38,93,1,2774.78
93,38,277,3,660.81
94,38,441,1,2520.14
95,38,45,2,1154.75
96,39,179,1,735.89
97,39,334,2,3470.41
98,40,31,3,1596.26
99,40,65,2,3049.76
100,40,426,2,3163.29
101,40,221,2,819.42
102,41,422,1,2133.83
103,41,88,3,1630.24
104,41,233,3,2609.88
105,42,183,2,2209.9
106,42,106,2,4195.57
107,42,302,3,3353.53
108,43,12,1,2782.41
109,43,232,3,4488.28
110,43,371,3,1303.24
111,44,155,3,1982.02
112,44,418,2,3162.18
113,44,2,2,1212.8
114,44,215,2,2525.64
115,45,87,1,2941.9
116,46,341,3,2720.45
117,47,290,1,4327.32
118,48,85,1,138.27
119,49,463,2,736.49
120,50,452,3,3244.17
121,50,417,1,4016.18
122,50,122,2,1383.27
123,51,278,1,4324.7
124,51,294,3,2795.41
125,51,468,1,3877.68
126,52,461,2,821.67
127,52,81,1,317.16
128,53,106,1,4195.57
129,53,89,1,3497.61
130,54,184,1,2905.79
131,54,35,1,1359.42
132,55,464,2,608.69
133,55,334,2,3470.41
134,55,413,1,4020.48
135,56,317,3,4139.7
136,57,173,2,2460.15
137,57,146,3,3481.95
138,58,116,2,2193.35
139,59,356,3,2384.68
140,59,402,1,1533.14
141,59,107,1,1150.91
142,60,449,2,2039.86
143,60,84,1,2530.84
144,61,471,1,1761.98
145,61,84,1,2530.84
146,61,304,3,3908.72
147,61,219,1,458.98
148,62,289,3,3285.5
149,62,383,3,3100.45
150,62,380,1,4178.67
151,63,65,2,3049.76
152,64,47,3,4194.71
153,64,83,1,1539.22
154,64,451,2,1405.25
155,65,385,2,1559.23
156,65,307,3,3718.26
157,65,202,3,2295.88
158,66,488,1,3384.94
159,66,29,1,4140.34
160,67,496,2,4100.09
161,67,255,1,2378.53
162,68,247,2,2823.16
163,69,302,1,3353.53
164,69,191,1,3708.02
165,69,143,1,2467.2
166,70,94,2,402.05
167,70,305,3,3907.15
168,70,397,1,687.66
169,70,444,3,1506.97
170,71,462,2,1761.45
171,71,230,3,2563.86
172,72,301,1,4168.19
173,73,203,1,4493.03
174,73,229,3,1406.29
175,74,52,2,952.31
176,74,247,1,2823.16
177,75,66,2,1498.19
178,75,484,2,3514.45
179,75,217,2,665.92
180,75,438,1,1100.89
181,76,129,1,3643.71
182,76,197,3,2586.62
183,76,53,1,1634.32
184,76,460,3,1747.96
185,77,62,1,1595.44
186,77,230,1,2563.86
187,77,415,1,274.53
188,77,393,3,4114.42
189,78,338,3,3643.17
190,78,380,2,4178.67
191,79,448,1,2414.09
192,79,71,1,1294.35
193,79,139,1,1571.51
194,80,33,2,2608.33
195,81,441,2,2520.14
196,81,170,1,2134.36
197,82,49,3,4264.68
198,82,139,1,1571.51
199,82,108,1,612.53
200,83,154,1,1019.16
201,84,265,2,4410.08
202,85,470,1,2072.05
203,85,303,2,344.31
204,85,237,2,1823.45
205,85,327,3,1665.1
206,86,192,3,3715.21
207,86,355,2,3874.37
208,87,79,1,1385.15
209,87,498,3,3532.25
210,88,363,2,2258.97
211,88,420,3,3651.38
212,89,359,1,3114.51
213,89,478,3,4426.93
214,89,277,1,660.81
215,90,155,3,1982.02
216,91,253,2,2052.77
217,91,22,3,1322.73
218,91,221,1,819.42
219,91,325,1,3594.36
220,92,388,3,3188.43
221,92,88,3,1630.24
222,93,182,3,844.94
223,93,49,1,4264.68
224,93,184,1,2905.79
225,93,447,2,3419.0
226,94,367,2,3595.46
227,94,278,2,4324.7
228,94,341,1,2720.45
229,94,149,3,2154.07
230,95,326,2,455.8
231,95,258,3,4081.88
232,95,403,3,2366.57
233,96,425,3,1198.33
234,96,379,1,4036.88
235,97,359,2,3114.51
236,97,224,1,3647.12
237,97,364,2,2241.64
238,98,10,3,4274.14
239,98,379,2,4036.88
240,99,247,1,2823.16
241,99,65,2,3049.76
242,99,338,2,3643.17
243,99,300,1,1056.92
244,100,378,3,741.47
245,100,192,2,3715.21
246,100,42,1,3559.52
247,101,89,2,3497.61
248,101,94,1,402.05
249,102,274,1,3960.11
250,103,374,3,3273.57
251,103,408,2,1267.68
252,103,340,1,2069.14
253,104,229,2,1406.29
254,104,89,1,3497.61
255,104,283,3,3610.47
256,105,451,1,1405.25
257,105,93,1,2774.78
258,105,331,1,2566.44
259,106,126,2,3330.17
260,106,473,1,1103.54
261,107,292,3,1268.39
262,107,294,1,2795.41
263,107,90,1,1745.77
264,108,202,2,2295.88
265,108,88,1,1630.24
266,108,426,1,3163.29
267,108,356,2,2384.68
268,109,1,2,738.76
269,109,135,1,270.86
270,109,471,3,1761.98
271,109,426,2,3163.29
272,110,100,2,3288.59
273,110,95,3,1460.11
274,110,35,1,1359.42
275,110,245,1,2692.75
276,111,315,1,1821.28
277,111,39,3,4327.51
278,112,295,1,1077.56
279,113,190,1,2533.19
280,113,391,3,1011.82
281,114,69,2,868.42
282,114,83,2,1539.22
283,115,45,3,1154.75
284,116,196,1,893.1
285,116,437,3,2574.09
286,117,215,1,2525.64
287,118,237,3,1823.45
288,118,249,1,3844.8
289,119,205,3,3809.6
290,119,144,3,3686.77
291,119,57,2,2811.97
292,120,243,2,448.7
293,121,201,1,792.3
294,121,145,3,4386.96
295,122,6,2,2537.97
296,122,8,1,3324.23
297,122,294,2,2795.41
298,123,103,2,2490.53
299,123,139,1,1571.51
300,124,423,1,2917.66
301,124,218,3,1161.86
302,124,338,1,3643.17
303,124,76,1,3635.22
304,125,403,1,2366.57
305,125,211,1,2701.14
306,126,145,2,4386.96
307,126,365,2,1085.61
308,126,48,1,1022.62
309,127,367,2,3595.46
310,127,51,2,1127.15
311,128,461,1,821.67
312,128,419,3,1528.88
313,128,148,1,3480.93
314,129,92,2,3644.34
315,129,238,3,630.17
316,129,241,2,2382.9
317,129,338,2,3643.17
318,130,458,2,1096.82
319,130,471,3,1761.98
320,130,386,1,3798.71
321,130,17,2,218.01
322,131,93,1,2774.78
323,131,320,2,4223.4
324,131,500,2,4429.12
325,132,243,2,448.7
326,133,52,2,952.31
327,133,262,1,1257.33
328,133,282,1,2953.5
329,134,318,1,2112.93
330,134,316,2,2102.99
331,134,290,3,4327.32
332,134,97,1,3525.33
333,135,452,1,3244.17
334,136,287,2,1462.86
335,136,113,2,2679.2
336,136,228,2,2870.8
337,137,394,2,3605.66
338,138,113,2,2679.2
339,138,138,2,451.38
340,139,408,2,1267.68
341,139,101,3,3168.1
342,139,257,2,3159.46
343,140,292,2,1268.39
344,140,390,2,1703.55
345,140,6,3,2537.97
346,140,85,2,138.27
347,141,194,1,4253.49
348,141,432,2,365.61
349,142,144,3,3686.77
350,143,89,3,3497.61
351,143,102,3,1816.85
352,143,265,2,4410.08
353,143,223,1,2698.78
354,144,491,1,3649.59
355,145,117,2,2016.28
356,145,257,3,3159.46
357,145,448,2,2414.09
358,146,380,1,4178.67
359,146,484,2,3514.45
360,146,138,3,451.38
361,146,90,2,1745.77
362,147,165,3,3312.69
363,147,400,3,565.47
364,148,428,1,552.35
365,149,245,1,2692.75
366,149,274,2,3960.11
367,150,26,3,4485.84
368,150,157,3,89.74
369,150,251,2,3915.95
370,150,434,3,1134.43
371,151,151,1,237.73
372,152,259,2,807.92
373,152,490,2,802.4
374,152,465,1,119.9
375,152,268,2,4352.22
376,153,203,3,4493.03
377,154,43,3,1073.19
378,154,278,2,4324.7
379,154,386,2,3798.71
380,154,232,2,4488.28
381,155,435,2,1757.98
382,155,240,1,922.64
383,155,68,2,2147.49
384,155,348,3,1315.49
385,156,189,3,2132.86
386,157,452,3,3244.17
387,157,356,2,2384.68
388,157,45,3,1154.75
389,158,481,1,3003.63
390,159,232,3,4488.28
391,159,244,1,1675.44
392,160,6,3,2537.97
393,161,172,2,2413.56
394,161,21,3,3835.03
395,161,358,3,2403.81
396,162,11,2,1832.5
397,162,149,2,2154.07
398,162,500,2,4429.12
399,162,121,1,4153.29
400,163,461,3,821.67
401,163,19,1,4337.71
402,163,117,2,2016.28
403,164,469,3,2739.71
404,164,218,1,1161.86
405,164,304,1,3908.72
406,165,203,2,4493.03
407,166,341,2,2720.45
408,166,109,2,177.14
409,166,12,3,2782.41
410,166,419,1,1528.88
411,167,94,1,402.05
412,167,377,2,3597.78
413,168,455,3,327.73
414,168,440,3,558.74
415,168,244,2,1675.44
416,168,467,1,426.75
417,169,395,3,896.44
418,170,261,2,4256.04
419,170,332,1,771.45
420,170,260,3,2799.94
421,170,221,2,819.42
422,171,199,2,3459.96
423,172,294,1,2795.41
424,172,213,2,3857.96
425,173,357,3,308.92
426,173,264,3,3909.98
427,174,205,2,3809.6
428,174,13,3,765.28
429,174,380,2,4178.67
430,174,433,1,1833.63
431,175,293,1,635.38
432,175,71,3,1294.35
433,175,72,2,4407.76
434,176,135,3,270.86
435,177,392,2,1715.26
436,177,359,3,3114.51
437,177,40,3,4039.53
438,177,280,2,729.73
439,178,209,2,1652.04
440,179,96,1,2743.96
441,179,430,1,616.9
442,180,391,3,1011.82
443,180,84,1,2530.84
444,180,296,2,166.08
445,180,477,1,406.28
446,181,393,3,4114.42
447,181,429,3,1306.05
448,182,345,3,3018.13
449,183,252,3,1577.56
450,183,62,1,1595.44
451,184,360,1,1327.98
452,184,166,1,1643.85
453,184,495,2,113.2
454,184,453,1,2643.14
455,185,378,3,741.47
456,185,469,2,2739.71
457,185,473,2,1103.54
458,185,4,3,1818.67
459,186,88,2,1630.24
460,186,208,1,3457.4
461,186,301,1,4168.19
462,187,368,3,3608.06
463,187,357,3,308.92
464,188,498,1,3532.25
465,188,453,3,2643.14
466,189,491,2,3649.59
467,189,168,3,2465.17
468,190,58,2,3916.02
469,191,397,2,687.66
470,191,290,2,4327.32
471,191,313,1,224.67
472,192,307,2,3718.26
473,192,92,3,3644.34
474,192,33,2,2608.33
475,192,316,1,2102.99
476,193,189,2,2132.86
477,194,491,1,3649.59
478,194,140,3,4490.94
479,195,338,1,3643.17
480,195,403,3,2366.57
481,195,126,1,3330.17
482,196,239,3,931.58
483,197,213,2,3857.96
484,198,198,3,3383.91
485,199,489,1,1208.97
486,199,329,3,4276.4
487,199,139,1,1571.51
488,199,340,2,2069.14
489,200,53,2,1634.32
490,201,452,3,3244.17
491,201,396,3,3938.76
492,201,298,1,3218.49
493,202,169,1,880.49
494,203,482,1,2869.91
495,203,230,1,2563.86
496,204,28,2,2353.96
497,204,480,3,443.59
498,204,307,2,3718.26
499,204,80,1,262.31
500,205,451,3,1405.25
501,205,25,3,2964.84
502,205,105,3,1217.91
503,205,16,1,1220.76
504,206,233,1,2609.88
