orden_id,cliente_id,fecha_orden,estado_orden
1,4879,2025-07-07 12:46:26,CANCELADA
2,1263,2025-03-22 09:34:17,PENDIENTE
3,3383,2025-11-09 04:45:55,PENDIENTE
4,1950,2025-08-16 00:22:45,PENDIENTE
5,1371,2025-08-21 09:44:18,COMPLETADA
6,2827,2025-02-18 02:07:31,COMPLETADA
7,2166,2025-11-09 03:55:23,PENDIENTE
8,951,2025-12-08 13:12:00,COMPLETADA
9,3802,2025-02-07 14:36:29,COMPLETADA
10,2469,2025-09-08 01:07:09,COMPLETADA
11,4363,2025-04-11 03:46:49,COMPLETADA
12,3196,2025-04-24 18:04:49,COMPLETADA
13,1190,2025-01-23 09:16:25,COMPLETADA
14,3562,2025-01-17 08:19:44,COMPLETADA
15,3677,2025-05-05 06:46:33,COMPLETADA
16,2587,2025-05-23 16:09:42,CANCELADA
17,337,2025-08-17 22:07:53,COMPLETADA
18,4353,2025-02-13 05:43:22,COMPLETADA
19,3538,2025-09-08 03:40:09,COMPLETADA
20,2234,2025-06-12 08:43:58,COMPLETADA
21,2188,2025-11-04 22:02:38,PENDIENTE
22,2092,2025-10-29 02:42:00,PENDIENTE
23,3205,2025-02-06 23:47:07,COMPLETADA
24,1981,2025-09-09 19:57:33,PENDIENTE
25,4823,2025-07-04 23:33:52,PENDIENTE
26,4260,2025-05-17 09:59:13,COMPLETADA
27,1474,2025-10-03 17:07:29,COMPLETADA
28,87,2025-07-11 09:33:46,PENDIENTE
29,557,2025-07-17 10:38:17,COMPLETADA
30,801,2025-06-13 14:36:58,COMPLETADA
31,3654,2025-04-29 09:41:09,COMPLETADA
32,2321,2025-03-24 11:27:38,COMPLETADA
33,279,2025-11-21 21:04:02,COMPLETADA
34,754,2025-03-03 10:12:27,COMPLETADA
35,4868,2025-01-29 05:04:02,PENDIENTE
36,1777,2025-01-09 03:12:10,CANCELADA
37,998,2025-01-24 21:15:31,PENDIENTE
38,983,2025-04-10 08:24:16,COMPLETADA
39,4954,2025-09-09 02:11:03,COMPLETADA
40,4638,2025-10-30 05:44:32,PENDIENTE
41,1514,2025-10-25 02:29:02,CANCELADA
42,1510,2025-01-11 11:15:17,COMPLETADA
43,3826,2025-03-28 15:53:41,PENDIENTE
44,621,2025-09-23 06:05:01,COMPLETADA
45,2265,2025-02-28 20:19:22,PENDIENTE
46,2650,2025-03-18 20:01:28,COMPLETADA
47,607,2025-11-14 12:15:29,COMPLETADA
48,512,2025-07-27 09:41:01,COMPLETADA
49,2726,2025-03-17 01:12:50,CANCELADA
50,2116,2025-10-15 00:42:43,CANCELADA
51,2169,2025-05-08 06:46:34,COMPLETADA
52,569,2025-01-10 20:57:08,COMPLETADA
53,1644,2025-03-05 23:10:07,COMPLETADA
54,1462,2025-09-05 05:15:04,COMPLETADA
55,889,2025-02-21 09:35:12,COMPLETADA
56,3533,2025-09-14 06:40:25,COMPLETADA
57,871,2025-04-14 19:47:15,CANCELADA
58,2122,2025-10-28 01:40:24,COMPLETADA
59,598,2025-11-20 11:13:54,COMPLETADA
60,2053,2025-07-21 18:47:54,PENDIENTE
61,154,2025-04-17 04:46:07,CANCELADA
62,1220,2025-02-01 21:05:52,PENDIENTE
63,8,2025-12-01 14:26:49,CANCELADA
64,3199,2025-04-10 14:40:50,COMPLETADA
65,2702,2025-01-28 17:55:03,CANCELADA
66,4708,2025-10-07 21:01:29,COMPLETADA
67,4020,2025-11-03 22:14:59,COMPLETADA
68,3309,2025-12-18 00:05:43,PENDIENTE
69,575,2025-07-16 16:28:54,COMPLETADA
70,28,2025-08-13 08:03:37,COMPLETADA
71,3950,2025-02-24 11:30:13,COMPLETADA
72,4386,2025-07-20 11:02:50,CANCELADA
73,2941,2025-02-10 13:08:52,COMPLETADA
74,2481,2025-09-28 13:57:52,COMPLETADA
75,743,2025-03-23 23:19:23,COMPLETADA
76,2786,2025-06-10 01:33:57,COMPLETADA
77,3766,2025-06-26 12:22:03,PENDIENTE
78,2376,2025-07-27 07:04:29,COMPLETADA
79,1447,2025-04-19 07:11:01,COMPLETADA
80,3148,2025-04-08 21:44:24,PENDIENTE
81,2449,2025-09-15 00:08:51,PENDIENTE
82,875,2025-05-29 21:49:14,COMPLETADA
83,2944,2025-10-03 22:01:37,COMPLETADA
84,3588,2025-08-19 10:04:43,PENDIENTE
85,1147,2025-03-16 23:31:44,COMPLETADA
86,208,2025-02-26 17:32:32,PENDIENTE
87,4858,2025-03-09 09:55:58,COMPLETADA
88,3185,2025-09-28 16:14:40,COMPLETADA
89,4429,2025-01-06 04:02:36,COMPLETADA
90,4094,2025-03-05 19:51:36,COMPLETADA
91,3681,2025-08-20 08:27:37,CANCELADA
92,135,2025-11-02 06:46:15,COMPLETADA
93,460,2025-08-21 02:17:37,COMPLETADA
94,351,2025-10-13 12:11:50,COMPLETADA
95,1735,2025-04-16 17:53:29,PENDIENTE
96,4286,2025-05-18 21:54:25,COMPLETADA
97,4396,2025-10-08 04:38:04,COMPLETADA
98,4747,2025-12-12 16:45:27,COMPLETADA
99,591,2025-06-22 04:55:25,COMPLETADA
100,1160,2025-08-14 09:10:43,COMPLETADA
101,157,2025-08-23 12:28:28,COMPLETADA
102,376,2025-04-11 23:37:29,COMPLETADA
103,1070,2025-02-27 13:12:54,COMPLETADA
104,410,2025-04-02 19:41:23,CANCELADA
105,798,2025-09-09 09:36:43,COMPLETADA
106,1399,2025-11-25 16:07:59,PENDIENTE
107,524,2025-05-08 14:45:18,PENDIENTE
108,872,2025-06-18 03:18:58,COMPLETADA
109,4875,2025-08-28 06:17:23,PENDIENTE
110,1807,2025-04-27 13:03:09,COMPLETADA
111,1661,2025-05-11 19:48:15,COMPLETADA
112,3294,2025-12-29 09:47:18,COMPLETADA
113,4719,2025-08-10 17:50:18,COMPLETADA
114,2635,2025-04-11 15:42:24,PENDIENTE
115,1747,2025-07-27 20:17:47,PENDIENTE
116,4859,2025-09-28 14:19:52,COMPLETADA
117,518,2025-12-07 23:44:10,COMPLETADA
118,1158,2025-10-30 21:11:34,PENDIENTE
119,1377,2025-07-28 10:55:21,PENDIENTE
120,4534,2025-12-30 02:29:07,COMPLETADA
121,1996,2025-07-09 06:26:58,CANCELADA
122,334,2025-10-27 22:45:57,COMPLETADA
123,3082,2025-05-05 20:40:18,PENDIENTE
124,129,2025-09-01 23:03:58,CANCELADA
125,662,2025-02-05 18:45:58,COMPLETADA
126,1470,2025-05-09 05:43:32,CANCELADA
127,4864,2025-11-01 20:30:56,CANCELADA
128,3410,2025-12-29 17:47:07,PENDIENTE
129,3900,2025-02-27 18:41:50,PENDIENTE
130,1689,2025-08-12 22:16:25,COMPLETADA
131,2220,2025-01-22 20:51:15,COMPLETADA
132,3376,2025-09-15 07:56:31,COMPLETADA
133,1430,2025-07-26 17:57:08,COMPLETADA
134,309,2025-06-23 02:50:14,COMPLETADA
135,4096,2025-06-10 16:20:40,COMPLETADA
136,722,2025-04-19 02:14:01,COMPLETADA
137,2468,2025-06-29 11:29:28,COMPLETADA
138,38,2025-04-10 23:26:48,COMPLETADA
139,1573,2025-11-17 21:48:18,COMPLETADA
140,4344,2025-06-25 14:31:24,CANCELADA
141,2965,2025-05-13 19:07:45,CANCELADA
142,4422,2025-05-17 10:31:03,COMPLETADA
143,3803,2025-10-23 19:20:39,PENDIENTE
144,1705,2025-09-26 07:51:27,COMPLETADA
145,1587,2025-04-15 13:27:10,COMPLETADA
146,1223,2025-08-07 14:13:16,PENDIENTE
147,3887,2025-08-04 17:21:53,COMPLETADA
148,1309,2025-03-12 15:33:50,PENDIENTE
149,354,2025-10-01 14:34:07,COMPLETADA
150,2984,2025-08-16 22:54:04,COMPLETADA
151,3561,2025-02-20 13:17:30,COMPLETADA
152,3713,2025-05-08 03:00:54,COMPLETADA
153,430,2025-03-20 15:59:45,CANCELADA
154,1441,2025-12-24 17:32:45,COMPLETADA
155,239,2025-08-01 17:43:56,COMPLETADA
156,951,2025-02-06 02:48:29,COMPLETADA
157,1928,2025-03-13 17:44:04,PENDIENTE
158,4856,2025-02-22 00:50:41,COMPLETADA
159,3433,2025-08-14 09:22:25,COMPLETADA
160,2669,2025-06-17 14:10:48,COMPLETADA
161,903,2025-07-10 22:54:48,COMPLETADA
162,804,2025-09-04 03:56:10,COMPLETADA
163,3380,2025-03-24 04:22:48,CANCELADA
164,3077,2025-10-22 12:43:04,CANCELADA
165,603,2025-01-17 08:58:27,COMPLETADA
166,3969,2025-08-07 22:08:25,COMPLETADA
167,3571,2025-02-19 22:55:53,COMPLETADA
168,4993,2025-10-02 02:11:56,COMPLETADA
169,3174,2025-02-15 09:17:51,COMPLETADA
170,3750,2025-05-16 17:29:53,PENDIENTE
171,2938,2025-02-05 16:14:09,CANCELADA
172,1657,2025-09-06 06:26:22,COMPLETADA
173,263,2025-01-18 23:56:41,PENDIENTE
174,489,2025-04-26 04:03:18,COMPLETADA
175,911,2025-03-18 09:03:06,CANCELADA
176,3757,2025-10-16 00:05:33,COMPLETADA
177,2815,2025-10-26 03:29:29,COMPLETADA
178,2418,2025-05-26 03:19:02,COMPLETADA
179,1393,2025-06-17 06:53:37,COMPLETADA
180,4529,2025-10-28 11:08:06,CANCELADA
181,709,2025-09-06 00:55:26,COMPLETADA
182,4275,2025-10-02 01:35:25,COMPLETADA
183,1774,2025-01-04 17:06:44,COMPLETADA
184,3791,2025-03-28 05:15:46,COMPLETADA
185,3508,2025-07-20 23:20:55,PENDIENTE
186,2021,2025-01-10 13:19:32,COMPLETADA
187,3558,2025-05-31 00:38:39,COMPLETADA
188,4848,2025-02-10 11:03:21,CANCELADA
189,4700,2025-06-19 07:59:03,CANCELADA
190,3423,2025-11-04 10:20:22,CANCELADA
191,329,2025-08-25 18:53:22,CANCELADA
192,4131,2025-09-28 08:47:06,COMPLETADA
193,4351,2025-02-28 05:25:30,COMPLETADA
194,803,2025-01-21 07:55:23,COMPLETADA
195,1971,2025-09-26 08:04:12,COMPLETADA
196,102,2025-10-03 23:55:12,PENDIENTE
197,3332,2025-01-24 01:16:47,CANCELADA
198,1088,2025-04-12 05:31:19,COMPLETADA
199,1959,2025-12-26 11:54:38,COMPLETADA
200,744,2025-06-24 11:59:31,COMPLETADA
201,2498,2025-04-04 03:51:47,COMPLETADA
202,3763,2025-06-23 20:41:00,CANCELADA
203,4782,2025-05-06 07:56:54,COMPLETADA
204,3727,2025-03-29 10:06:38,COMPLETADA
205,1136,2025-03-23 22:03:28,CANCELADA
206,3321,2025-11-18 10:05:39,COMPLETADA
207,3035,2025-10-24 14:53:18,COMPLETADA
208,12,2025-09-17 02:27:53,CANCELADA
209,580,2025-01-19 19:23:47,COMPLETADA
210,2728,2025-04-28 10:03:54,COMPLETADA
211,2430,2025-04-15 06:19:26,COMPLETADA
212,2211,2025-03-09 17:05:18,PENDIENTE
213,4444,2025-04-19 16:36:44,COMPLETADA
214,1697,2025-08-10 09:51:04,PENDIENTE
215,664,2025-02-05 19:41:44,COMPLETADA
216,2751,2025-03-03 06:17:51,PENDIENTE
217,450,2025-12-30 12:11:45,COMPLETADA
218,2982,2025-03-09 06:47:29,CANCELADA
219,910,2025-09-21 01:13:13,COMPLETADA
220,3813,2025-09-21 05:42:09,COMPLETADA
221,2995,2025-04-02 18:50:27,COMPLETADA
222,4578,2025-12-23 01:44:36,PENDIENTE
223,4594,2025-05-30 18:52:22,PENDIENTE
224,1678,2025-11-10 13:57:33,COMPLETADA
225,2744,2025-06-13 22:05:31,COMPLETADA
226,931,2025-09-23 07:43:01,COMPLETADA
227,4753,2025-10-15 10:43:59,CANCELADA
228,1719,2025-12-15 03:19:14,PENDIENTE
229,1847,2025-09-17 19:13:33,COMPLETADA
230,2191,2025-11-18 07:12:28,COMPLETADA
231,3465,2025-05-04 01:46:50,COMPLETADA
232,520,2025-03-26 12:43:38,COMPLETADA
233,3707,2025-10-19 00:18:29,COMPLETADA
234,4315,2025-06-28 05:39:15,PENDIENTE
235,3852,2025-05-20 06:09:35,PENDIENTE
236,4366,2025-12-13 23:38:45,CANCELADA
237,3703,2025-06-06 18:39:31,COMPLETADA
238,538,2025-09-21 23:59:01,COMPLETADA
239,3751,2025-01-16 05:04:48,COMPLETADA
240,3201,2025-06-09 15:32:15,CANCELADA
241,2363,2025-10-04 15:29:00,CANCELADA
242,631,2025-12-20 07:12:53,COMPLETADA
243,2261,2025-10-22 13:03:14,COMPLETADA
244,1213,2025-03-21 07:01:17,COMPLETADA
