pago_id,orden_id,fecha_pago,monto_pago,metodo_pago,estado_pago
1,5,2025-09-29 06:00:51,7416.47,YAPE,APROBADO
2,6,2025-07-20 06:34:17,6327.16,TRANSFERENCIA,APROBADO
3,8,2025-01-23 13:24:51,19929.51,TARJETA,APROBADO
4,9,2025-07-14 06:07:09,21395.87,YAPE,APROBADO
5,10,2025-11-24 11:26:12,16843.62,PLIN,APROBADO
6,11,2025-08-11 08:39:46,5138.16,PLIN,APROBADO
7,12,2025-06-11 17:46:30,14653.63,YAPE,APROBADO
8,13,2025-11-12 09:34:08,4613.1,TRANSFERENCIA,APROBADO
9,14,2025-01-28 11:26:13,1624.65,TARJETA,APROBADO
10,15,2025-05-04 15:02:26,4005.21,TARJETA,APROBADO
11,17,2025-07-17 05:47:14,22131.92,YAPE,APROBADO
12,18,2025-06-29 05:16:53,16792.8,YAPE,APROBADO
13,19,2025-12-15 12:08:13,12207.57,YAPE,APROBADO
14,20,2025-09-17 01:01:28,3933.22,YAPE,APROBADO
15,23,2025-07-08 02:40:13,8529.36,TARJETA,APROBADO
16,26,2025-03-29 23:59:58,452.87,TARJETA,APROBADO
17,27,2025-04-21 08:08:54,6117.36,YAPE,APROBADO
18,29,2025-05-02 09:28:34,2869.91,PLIN,APROBADO
19,30,2025-03-11 06:38:50,8172.45,YAPE,APROBADO
20,31,2025-01-16 23:54:30,10015.36,TARJETA,APROBADO
21,32,2025-11-24 14:52:56,9064.2,PLIN,APROBADO
22,33,2025-08-26 11:07:44,14897.45,TRANSFERENCIA,APROBADO
23,34,2025-06-29 20:32:48,13506.09,TRANSFERENCIA,APROBADO
24,38,2025-09-08 03:59:48,9586.85,PLIN,APROBADO
25,39,2025-08-12 03:43:55,7676.71,TARJETA,APROBADO
26,42,2025-11-19 04:16:09,22871.53,TRANSFERENCIA,APROBADO
27,44,2025-03-29 10:50:06,19747.3,TARJETA,APROBADO
28,46,2025-06-12 13:37:08,8161.35,PLIN,APROBADO
29,47,2025-11-17 19:22:26,4327.32,YAPE,APROBADO
30,48,2025-08-15 22:18:40,138.27,YAPE,APROBADO
31,51,2025-02-19 13:34:19,16588.61,TARJETA,APROBADO
32,52,2025-12-26 23:18:01,1960.5,TARJETA,APROBADO
33,53,2025-11-30 20:38:19,7693.18,PLIN,APROBADO
34,54,2025-02-19 04:13:51,4265.21,TRANSFERENCIA,APROBADO
35,55,2025-05-17 07:52:08,12178.68,PLIN,APROBADO
36,56,2025-01-07 23:49:25,12419.1,YAPE,APROBADO
37,58,2025-03-20 03:30:40,4386.7,PLIN,APROBADO
38,59,2025-11-15 17:15:27,9838.09,TRANSFERENCIA,APROBADO
39,64,2025-11-25 07:18:10,16933.85,YAPE,APROBADO
40,66,2025-09-01 06:22:17,7525.28,TRANSFERENCIA,APROBADO
41,67,2025-05-02 16:11:39,10578.71,PLIN,APROBADO
42,69,2025-10-16 15:49:34,9528.75,YAPE,APROBADO
43,70,2025-06-06 18:49:42,17734.12,TARJETA,APROBADO
44,71,2025-01-13 06:47:47,11214.48,PLIN,APROBADO
45,73,2025-06-21 03:30:58,8711.9,YAPE,APROBADO
46,74,2025-12-17 11:46:03,4727.78,YAPE,APROBADO
47,75,2025-06-13 06:39:44,12458.01,TRANSFERENCIA,APROBADO
48,76,2025-11-13 13:27:00,18281.77,PLIN,APROBADO
49,78,2025-09-13 07:51:24,19286.85,YAPE,APROBADO
50,79,2025-02-05 01:16:02,5279.95,TARJETA,APROBADO
51,82,2025-07-03 07:31:46,14978.08,PLIN,APROBADO
52,83,2025-07-16 15:49:08,1019.16,YAPE,APROBADO
53,85,2025-12-13 22:45:18,11402.87,TRANSFERENCIA,APROBADO
54,87,2025-08-12 02:24:24,11981.9,PLIN,APROBADO
55,88,2025-05-07 14:09:02,15472.08,PLIN,APROBADO
56,89,2025-12-17 05:37:56,17056.11,TRANSFERENCIA,APROBADO
57,90,2025-02-26 15:02:17,5946.06,TARJETA,APROBADO
58,92,2025-08-22 13:15:31,14456.01,TRANSFERENCIA,APROBADO
59,93,2025-01-16 10:40:49,16543.29,TRANSFERENCIA,APROBADO
60,94,2025-05-26 05:31:52,25022.98,YAPE,APROBADO
61,96,2025-11-16 02:35:44,7631.87,YAPE,APROBADO
62,97,2025-04-24 15:15:31,14359.42,TARJETA,APROBADO
63,98,2025-09-16 10:58:57,20896.18,YAPE,APROBADO
64,99,2025-04-10 11:55:19,17265.94,YAPE,APROBADO
65,100,2025-06-26 12:52:53,13214.35,YAPE,APROBADO
66,101,2025-03-21 08:55:26,7397.27,TARJETA,APROBADO
67,102,2025-12-31 18:45:08,3960.11,TRANSFERENCIA,APROBADO
68,103,2025-08-06 15:23:24,14425.21,TARJETA,APROBADO
69,105,2025-09-18 07:04:45,6746.47,TRANSFERENCIA,APROBADO
70,108,2025-06-01 16:30:46,14154.65,TARJETA,APROBADO
71,110,2025-11-06 11:42:17,15009.68,TARJETA,APROBADO
72,111,2025-10-04 20:44:09,14803.81,YAPE,APROBADO
73,112,2025-01-27 22:42:26,1077.56,TARJETA,APROBADO
74,113,2025-07-15 06:27:02,5568.65,PLIN,APROBADO
75,116,2025-09-30 04:15:02,8615.37,PLIN,APROBADO
76,117,2025-10-25 18:37:44,2525.64,TRANSFERENCIA,APROBADO
77,120,2025-07-17 07:56:07,897.4,PLIN,APROBADO
78,122,2025-03-09 00:12:39,13990.99,TARJETA,APROBADO
79,125,2025-09-24 03:59:55,5067.71,YAPE,APROBADO
80,130,2025-03-13 22:41:33,11714.31,PLIN,APROBADO
81,131,2026-01-02 12:52:47,20079.82,TARJETA,APROBADO
82,132,2025-04-22 01:06:49,897.4,YAPE,APROBADO
83,133,2025-03-21 20:31:57,6115.45,TARJETA,APROBADO
84,134,2025-02-18 12:47:24,22826.2,YAPE,APROBADO
85,135,2025-11-18 09:42:52,3244.17,YAPE,APROBADO
86,136,2025-01-28 22:59:14,14025.72,PLIN,APROBADO
87,137,2025-12-21 12:48:23,7211.32,TARJETA,APROBADO
88,138,2025-09-21 15:06:37,6261.16,TARJETA,APROBADO
