producto_id,nombre_producto,categoria,precio_unitario,activo
1,Poner Vuelta,Tecnología,738.76,1
2,Mis Conseguir,Moda,1212.8,1
3,Ojos Hospital,Salud,1677.12,1
4,Permite Francia,Alimentos,1818.67,1
5,Socialista Grandes,Salud,3537.86,1
6,Toda Quienes,Moda,2537.97,1
7,Noviembre Ir,Moda,2620.55,1
8,Manuel Cabo,Deportes,3324.23,1
9,Menor Victoria,Alimentos,579.93,1
10,Resultado Viene,Alimentos,4274.14,1
11,Causa Uno,Salud,1832.5,1
12,Historia Cambios,Salud,2782.41,1
13,Victoria Información,Tecnología,765.28,0
14,Las Bien,Tecnología,3629.44,1
15,Investigación Mejor,Deportes,4170.08,1
16,Diferentes Escuela,Tecnología,1220.76,1
17,Capital Internacional,Salud,218.01,1
18,Razón Padres,Deportes,2782.15,1
19,Dónde Llegó,Alimentos,4337.71,1
20,Fútbol Recursos,Hogar,2899.3,1
21,Seguir Usted,Hogar,3835.03,1
22,Necesidad Encontrar,Salud,1322.73,1
23,Muerte República,Salud,2321.94,1
24,Vida Seguridad,Salud,804.2,1
25,País Varios,Hogar,2964.84,0
26,Esa Silencio,Tecnología,4485.84,1
27,Plan Necesario,Moda,3030.0,1
28,Democracia Noviembre,Hogar,2353.96,1
29,Tarde Cierta,Tecnología,4140.34,1
30,Aquella Lo,Alimentos,3742.45,1
31,Elementos Perdido,Moda,1596.26,1
32,Mediante Otra,Hogar,2748.32,1
33,Bien Aquellas,Deportes,2608.33,1
34,Análisis Personas,Deportes,2302.76,1
35,Actitud Universidad,Salud,1359.42,1
36,Sistemas Además,Salud,4307.36,1
37,Nuestro Dirección,Salud,1163.13,1
38,Rafael Palabra,Deportes,2556.1,1
39,Instituciones Tuvo,Moda,4327.51,1
40,Estaban Solamente,Deportes,4039.53,1
41,López Produce,Deportes,567.39,1
42,Propio Puntos,Alimentos,3559.52,1
43,B Lleva,Alimentos,1073.19,1
44,Durante Habría,Moda,2348.44,1
45,Origen Minutos,Moda,1154.75,1
46,Primeras Meses,Alimentos,3382.11,1
47,Base Momento,Salud,4194.71,1
48,Dónde Rosa,Moda,1022.62,1
49,Tú Función,Hogar,4264.68,1
50,Había Luis,Hogar,2270.55,1
51,Era Señora,Alimentos,1127.15,1
52,España Rodríguez,Hogar,952.31,1
53,Quedó Información,Salud,1634.32,1
54,Cuba Interés,Tecnología,4144.84,1
55,Trata Fácil,Alimentos,2242.36,1
56,Posibilidades Nosotros,Salud,4313.07,1
57,Para Investigación,Moda,2811.97,1
58,Crecimiento Grado,Salud,3916.02,1
59,Medida Millones,Salud,1297.19,1
60,Serán Premio,Salud,620.69,1
61,Total Recuerdo,Deportes,2178.52,1
62,Cámara Yo,Salud,1595.44,1
63,Cinco Hermano,Hogar,2084.52,1
64,Rosa Encuentra,Salud,2097.31,1
65,Formas Encontrar,Tecnología,3049.76,1
66,Derecha Pese,Tecnología,1498.19,1
67,Iba Cierta,Moda,882.83,1
68,Juez Permite,Moda,2147.49,1
69,Supuesto R,Moda,868.42,1
70,Largo Cualquier,Deportes,3168.17,1
71,Constitución Juez,Deportes,1294.35,1
72,Conseguir Difícil,Hogar,4407.76,1
73,Eso Fueron,Tecnología,3257.63,1
74,Oro Cuales,Salud,1973.37,1
75,Tratamiento Características,Hogar,3610.17,1
76,Unas Amigos,Deportes,3635.22,1
77,Fin Estados,Deportes,648.4,1
78,Diversos Haciendo,Alimentos,2350.68,1
79,Edad P,Deportes,1385.15,1
80,Sistema Banco,Salud,262.31,1
81,Año Buen,Hogar,317.16,1
82,Algunas Podía,Deportes,3783.42,1
83,Asimismo Violencia,Alimentos,1539.22,1
84,Semanas Fútbol,Salud,2530.84,1
85,Otros Semanas,Moda,138.27,1
86,Años Político,Alimentos,4335.87,1
87,Grupos Futuro,Salud,2941.9,1
88,Estas Artículo,Moda,1630.24,1
89,Partidos Diferentes,Deportes,3497.61,1
90,A Hombre,Tecnología,1745.77,1
91,Que Embargo,Alimentos,4306.85,1
92,Mil Torno,Alimentos,3644.34,1
93,Puedo Fondo,Alimentos,2774.78,1
94,Lejos Arte,Tecnología,402.05,1
95,Ve Estar,Moda,1460.11,1
96,Otros R,Moda,2743.96,1
97,Análisis Sigue,Deportes,3525.33,1
98,Ambiente Temas,Alimentos,2661.79,0
99,Origen Organización,Deportes,794.57,1
100,Democracia Por,Hogar,3288.59,1
101,Sueño Favor,Alimentos,3168.1,1
102,Democracia Primero,Hogar,1816.85,1
103,Explicó Hora,Deportes,2490.53,1
104,Superior Carne,Deportes,2381.72,0
105,Económica Internacional,Tecnología,1217.91,1
106,Práctica Defensa,Alimentos,4195.57,1
107,Es Debía,Hogar,1150.91,1
108,Mar Radio,Alimentos,612.53,1
109,López Tuvo,Hogar,177.14,1
110,Cuarto Hasta,Moda,3895.87,1
111,Problemas Encima,Salud,4210.12,1
112,Quiero Momentos,Hogar,4364.46,1
113,Crisis A,Hogar,2679.2,1
114,Cuando Dijo,Alimentos,2879.54,1
115,Modelo Muerto,Salud,2897.05,1
116,Llevar Viejo,Moda,2193.35,1
117,Sabía Otras,Tecnología,2016.28,1
118,Sangre Vuelta,Moda,742.94,1
119,Público Mesa,Salud,3678.44,1
120,Militar Pensar,Moda,1326.09,1
121,Haya Cuya,Alimentos,4153.29,1
122,Mientras N,Deportes,1383.27,1
123,Millones Encima,Moda,2706.67,1
124,Forma México,Salud,1712.72,1
125,Quiero Militar,Salud,1995.12,1
126,Menor Aire,Alimentos,3330.17,1
127,Militares Hubiera,Deportes,1031.64,1
128,Mí Empresas,Alimentos,1116.05,1
129,Arriba Vuelve,Salud,3643.71,1
130,Razones Mercado,Moda,2935.63,1
131,Hicieron Favor,Moda,1887.42,1
132,Pasar Los,Hogar,657.98,1
133,Club Centros,Deportes,2798.9,1
134,Dar Estamos,Salud,2239.38,1
135,Pasar Estados,Hogar,270.86,1
136,Países Minutos,Hogar,4376.88,1
137,Encuentran Posibilidades,Hogar,3232.62,1
138,Bueno Operación,Hogar,451.38,1
139,Tenemos Alguien,Hogar,1571.51,1
140,Prueba Eran,Deportes,4490.94,1
141,Vio Consecuencia,Tecnología,1519.61,1
142,Energía Cámara,Hogar,299.37,1
143,G José,Tecnología,2467.2,1
144,Y Diferencia,Moda,3686.77,1
145,Especial Política,Tecnología,4386.96,1
146,Allí Cualquier,Deportes,3481.95,1
147,Española Otros,Alimentos,4475.68,1
148,Ha Concepto,Alimentos,3480.93,1
149,Dólares Vamos,Hogar,2154.07,1
150,Allí República,Moda,4216.16,1
151,Corte Tú,Alimentos,237.73,1
152,Sabía Eso,Salud,593.53,1
